pref,district,pop,year,notmp,cluster,1s,2s,3s,4s,5s,6s,7s,8s,9s,sum,1r,2r,3r,4r,5r,6r,7r,8r,9r
茨城,水戸市,"270,685",2025,0,1,8,6,5,6,9,5,9,9,6,63,「図８ 水戸市立地適正化計画（第２次）における都市機能誘導区域・居住誘導区域」において誘導区域が図示され、立地適正化計画との連携が明記されているが、区域内の人口等の数値目標はないため。,「水戸市地域公共交通計画に基づき、公共交通事業者や関係機関等との連携を図りながら、全ての人が安心して移動できる交通体系の実現に向けた取組を推進します。」とあるが、具体的なサービス水準（運行頻度等）の目標値がないため。,「水戸市自転車活用推進計画に基づき...安全で快適な自転車通行空間の形成を推進します。」とあるものの、具体的なネットワーク計画図や、計画と健康指標との連動が示されていないため。,「子育てしやすいまちづくりの推進」「高齢者等の活動拠点の形成」として個別の施策は挙げられているが、徒歩圏での具体的な施設配置基準や計画が示されていないため。,洪水、内水、土砂災害等のハザードマップが明示され、「水戸市立地適正化計画（第２次）の防災指針に基づき、災害リスクの低い区域へ緩やかに居住を誘導します。」と土地利用の方針が明確であるため。,「発生した空き家については水戸市空き家バンク制度を活用する」など個別の対策には言及があるが、交通安全や防犯に関する具体的な目標や制度（ゾーン30等）の記述が乏しいため。,都市核や「地域産業系拠点」等の誘導エリアが具体的に指定され、総合計画から引用する形で経済成長率の目標が設定され、「企業誘致検討ゾーン」の設置など企業誘致の方針も明確なため。,「水戸市公共施設等総合管理計画」との連携が明記され、「表３ 公共施設等の将来の更新等費用の推計」でコストの定量的評価が行われているため。,「ゼロカーボン・エコシティ水戸の実現に向け、各種の取組を進めています。」とあるが、CO2排出量の具体的な削減目標が計画内に示されていないため。
茨城,日立市,"174,508",2020,0,1,8,8,5,6,9,8,7,7,4,62,"p.49, p.61等で「多極ネットワーク型コンパクトシティ」の実現に向けた拠点配置図やゾーニングが図示され具体的だが、立地適正化計画で定める誘導区域図や人口密度に関する数値目標が明示されていないため。","p.55, p.82等で「ひたちBRT」を軸とした公共交通ネットワークの構想が具体的だが、バスの運行頻度などの具体的なサービス水準目標は記載されていないため。","p.56, p.84で「歩いて暮らせるまち」の理念や自転車・歩行者ネットワークの概念は示されているが、具体的な路線計画図や健康指標との連携についての記述が乏しいため。",p.60で日常生活サービスの徒歩圏分析は行われているが、それを踏まえた高齢者施設や子育て施設の具体的な配置計画や基準までは示されていないため。,p.34の図で土砂災害警戒区域や津波浸水想定区域等が明示され、p.88で「津波浸水や河川浸水が想定される区域については、居住者の安全の観点から居住を誘導しないこととし」と明確な土地利用規制の方針が記載されているため。,"p.76, p.150で空き家対策が現状分析から具体的な支援制度まで言及されており評価できるが、交通安全対策でゾーン30等の具体的な施策への言及がないため。",p.68のゾーニング図で産業・商業の誘導エリアが明確に示されているが、売上高や雇用者数といった具体的な経済指標の目標設定がないため。,p.95で「維持管理コストの適正化」として公共施設マネジメントやインフラ維持管理の方針は示されているが、具体的なコスト削減目標額や施設再編計画は示されていないため。,p.19で「都市の低炭素化を進めます」との理念は示されているが、CO2排出量の具体的な削減目標や再生可能エネルギーの導入目標などの数値目標が記載されていないため。
茨城,土浦市,"142,074",2024,0,1,10,8,7,5,8,7,8,6,4,63,「居住誘導区域の人口密度」の目標値（34.6人/ha→35.6人/ha）や、「都市機能誘導区域における誘導施設の立地割合」の目標値（81.0%→100.0%）など、立地適正化計画と連携した具体的な区域と数値目標が設定されているため。,「コミュニティ交通（つちまるバス）については、公共交通不便地域のうち、居住誘導区域内で人口密度が比較的高く、ある程度の需要が見込める地域...について導入を促進します。」と居住誘導と連携した方針がある一方、具体的なサービス水準目標がないため。,「『土浦市自転車のまちづくり構想』における自転車ネットワーク計画に基づいた自転車通行空間の整備」など個別計画と連携したネットワーク整備方針があるが、健康指標との明確な連動が示されていないため。,「公園施設における子育て世代の遊び場の確保」や「移動スーパー、ICTの導入」等の言及はあるが、高齢者徒歩圏や子育て施設の具体的な配置基準、地域包括ケアとの連携が明記されていないため。,「急傾斜地については、法に基づく急傾斜地崩壊危険区域の指定を受け、崩壊防止対策を行い、危険区域の解消を促進します。」など具体的な対策が示され、耐震化率等の目標もあるが、危険区域からの移転促進など踏み込んだ土地利用規制の記述が弱いため。,「空き家バンク等の活用」や「防犯カメラの設置や死角を少なくするなど、防犯面に配慮した施設整備を推進します。」など具体的な対策が示されているが、交通安全対策が一般的な記述に留まるため。,「土浦北インターチェンジ周辺及び桜土浦インターチェンジ周辺...を産業の拠点として機能の強化を目指します。」と具体的な誘導エリアが示され、「産業系土地利用面積」の目標値もあるが、売上高等の経済指標目標がないため。,「公共施設については、持続可能な行政サービスの提供を推進するため、複合化や集約化等を計画的に行い」と方針は示されているが、インフラ維持管理コストの具体的な削減目標や財政効果の試算がないため。,「再生可能エネルギーを率先して導入」や「脱炭素社会に向けた都市づくりを推進します。」との記述はあるが、市全体のCO2排出量に関する具体的な削減目標が設定されていないため。
茨城,古河市,"139,344",2024,0,2,7,5,4,5,6,4,6,5,3,45,「１核１拠点構造による集約連携型コンパクトシティ」を掲げ、都市核（古河駅周辺）、地域拠点（諸川周辺）を具体的に指定し、立地適正化計画の都市機能誘導区域・居住誘導区域との連携を明記しているが、人口密度等の数値目標はないため。,既存公共交通の活用によるネットワーク形成やバス路線の再編方針は示されているが、運行頻度等の具体的なサービス水準目標がないため。,「歩いて暮らせる」理念や歩行空間・自転車利用促進に関する方針は記述されているが、具体的な歩行者・自転車ネットワーク計画や健康指標との連動がないため。,高齢者や子育て世代に配慮した施設集約の方針は示されているが、具体的な徒歩圏の定義や施設配置基準が示されていないため。,浸水想定区域図に基づき、新規開発を安全なエリアへ誘導する方針は示されているが、危険区域における開発抑制や移転促進といった強い土地利用規制への言及はないため。,空き家対策の方針は示されているが、具体的な削減目標や制度設計には踏み込んでいない。交通安全や防犯に関する具体的な施策の記述も乏しいため。,「産業誘導促進区域」を地図上で明示し、企業誘致に向けた都市計画手法の活用方針も示されているが、商業売上高等の経済指標に関する数値目標がないため。,コンパクト化による都市経営コストの適正化や公共施設再編の必要性には言及しているが、具体的なコスト削減目標や施設再編計画が示されていないため。,低炭素まちづくりや再生可能エネルギー利用促進の方針は示されているが、CO2排出量削減や再エネ導入に関する具体的な数値目標が全くないため。
茨城,石岡市,"73,061",2017,0,0,5,4,3,3,5,4,5,4,3,36,将来像として「自然・歴史が息づく コンパクトシティ いしおか」を掲げ，都市拠点・地域生活拠点等の「多核連携型都市構造」を目指す方針は示されているが，「居住誘導区域」「都市機能誘導区域」の具体的な区域指定や人口密度等の数値目標はないため.,鉄道，BRT，乗合いタクシー等による公共交通網の再構築や拠点間連携の強化を方針として掲げているが，具体的な路線計画や運行頻度等のサービス水準目標の記載はないため.,恋瀬川サイクリングコースの整備や歩行者道路のバリアフリー化については言及があるものの，「歩いて暮らせる」理念に基づく体系的な歩行者・自転車ネットワーク計画や健康指標との連動は見られないため.,高齢者福祉施設や子育て支援施設の充実・適正配置について言及されているが，高齢者の徒歩圏といった具体的な基準や計画的な配置方針は示されていないため.,土砂災害警戒区域等は，危険箇所の指定や砂防事業・急傾斜地崩壊対策等を促進するとともに，避難体制の整備や安全な土地利用の誘導を図ります。,住宅団地や農村集落等の空き家については，廃屋化を予防し，適正な維持管理を図るとともに，適切な管理が行われずに生活環境に影響を及ぼしている空き家等の実態調査及び対策に向けた計画を策定し，必要な対策を実施します。,「産業拠点」として「柏原工業団地や石岡小美玉スマートインターチェンジ周辺等」を位置付けているが，具体的な誘導エリアの図示や売上高等に関する経済指標目標の設定はないため.,「都市機能や居住の集約・集積度の向上は，...道路等の公共施設等の維持管理の軽減も期待されます。」との記述はあるが，具体的なコスト削減目標や施設再編計画は示されていないため.,基本目標として「目標５ 地球環境にやさしいまちづくり」を掲げ，コンパクト化による環境負荷軽減の考え方を示しているが，具体的なCO2排出量削減目標や再生可能エネルギー導入に関する施策の記述がないため.
茨城,結城市,"50,645",2017,0,3,4,4,3,3,6,6,6,5,4,41,立地適正化計画を視野に入れ「都市機能誘導区域」「居住誘導区域」の設定を検討するとしているが、本計画では明確な区域指定や数値目標はない。「コンパクトなまちづくりを念頭に，都市機能誘導区域※１や居住誘導区域※２の設定を検討します。」（p.50）,鉄道駅周辺への居住誘導やバスネットワーク形成の方針はあるが、運行頻度等の具体的なサービス水準目標がない。「鉄道サービスを補完する広域バス交通ネットワークの形成...や，鉄道利用を高める市内循環バス交通ネットワークの形成...など，多様な交通手段の提供に努めます。」（p.68）,自転車ネットワーク計画の策定検討などの方針はあるが、具体的なネットワーク図や整備目標、健康指標との連動がない。「自転車ネットワーク整備計画の策定を検討するとともに，自転車専用レーンやサイクリングロード等の整備...などに努めます。」（p.68）,高齢者や子育てへの配慮は方針として示されているが、徒歩圏や施設配置基準といった具体的な計画に落とし込まれていない。「都市レベル...地域レベル...地区レベルの健康・福祉の拠点については...その機能拡充を図ります。」（p.94）,防災拠点の整備や建築物の不燃化誘導などの方針が示されているが、ハザードマップに基づく危険区域での開発抑制など、より踏み込んだ土地利用規制の記述は弱い。「将来，建築物が密集し，災害発生時に延焼拡大等による大きな被害が予想される市街地においては，防火地域・準防火地域等の指定を図り，建築物の不燃化を誘導する」（p.85）,空き家対策は法律や条例に基づき具体的に推進する方針だが、交通安全や防犯対策は一般的な記述に留まる。「空家等対策の推進に関する特別措置法及び結城市空き家等の適正管理に関する条例に加えて...空き家バンク等の利活用・維持管理方策の検討を進めます。」（p.57）,商業・工業の誘導エリアが示され、工業団地の拡張など具体的な方針があるものの、売上高等の具体的な経済指標目標がない。「将来の工業地需要については...既存工業地の拡大（結城第一工業団地上山川北部地区等）や，新規産業拠点の立地を見込みます。」（p.41）,公共施設の集約・ネットワーク化の方針があり、特に小学校の適正配置検討に言及しているが、インフラコスト削減等の定量的な目標はない。「公共公益施設の整備にあたっては，利用者の利便性や提供側の効率性に配慮しながら集約・ネットワーク化を図ります。」（p.93）,再生可能エネルギー導入促進等の個別施策はあるが、CO2排出量削減等の定量的な目標がなく、計画全体での体系性に欠ける。「太陽熱利用温水機器や太陽光発電施設・設備の導入など，再生可能エネルギーの利用を促進します。」（p.76）」
茨城,龍ケ崎市,"76,420",2025,0,1,7,7,4,5,8,8,7,8,2,56,立地適正化計画と一体で4つの地域生活拠点と2つの都市拠点を位置付けているが、具体的な誘導区域図や人口密度目標はマスタープラン内にはないため。,交通軸を明確にし、AIオンデマンド交通導入検討や「公共交通空白地域0%を維持」という目標がある一方、具体的なサービス水準目標がないため。,「歩いて暮らせる」理念や具体的なネットワーク計画、健康指標との連動がなく、自転車活用推進計画は「策定を検討する」段階であるため。,高齢者や子育て世代への配慮は理念として述べられているが、具体的な徒歩圏の定義や施設配置基準、地域包括ケアとの連携の記述が弱いため。,浸水想定区域等における「新規立地の抑制や適切な土地利用の誘導等に努める」と土地利用規制に明確に言及しているため。,空家バンクや空家等活用促進区域の設定検討、ゾーン30やグリーンベルトの導入など、具体的な制度活用や手法に言及しているため。,「産業拠点」として具体的なエリアを指定し、工業団地の拡張も検討しているが、経済指標の目標設定がないため。,公共施設等総合管理計画と連携し、「縮充」や「統廃合」による公共施設再編や、インフラコストの縮減・平準化という具体的な方針が示されているため。,地球温暖化問題への言及はあるものの、CO2排出量の具体的な削減目標、再生可能エネルギー導入やスマートシティに関する具体的な施策の記述がないため。
茨城,下妻市,"42,521",2022,0,0,5,3,4,4,6,3,6,7,2,40,立地適正化計画に言及し誘導の方針は示しているが、マスタープラン内に具体的な誘導区域図や人口密度目標は記載されていないため。「都市機能誘導区域及び居住誘導区域は、用途地域内に設定する。」(p.19),鉄道・バス事業者への「要請」が中心で、自治体が主体となった具体的なサービス水準目標や路線計画が示されていないため。「関東鉄道常総線の運行ダイヤの維持・改善を鉄道事業者に要請し、鉄道の利便性向上と利用促進に努めます。」(p.52),歩行者・自転車ネットワーク形成の方針や回遊軸の概念は示されているが、具体的なネットワーク計画図や健康指標との連動に関する記述がないため。「主要な資源を歩行者専用道路、サイクリング道路、歩行者環境に配慮した生活道路などで結ぶ歩行者系交通ネットワークを形成します。」(p.51),地域別構想で福祉・子育て拠点の配置は示されているが、高齢者の徒歩圏といった具体的な配置基準や計画目標が明記されていないため。「身近な生活圏において、生活利便施設や地区レベルの公共公益施設などの集積する身近な生活拠点を、地域住民の利用しやすい場所に育成します。」(p.53),ハザードマップに基づく現状認識や関連計画との連携は示されているが、危険区域における開発抑制や移転促進といった、より具体的な土地利用規制・誘導策にまでは踏み込んでいないため。「土地利用の制限や適切な避難を促す対策など、ハード・ソフト一体となった治水対策を、流域の関係者が協働して進めます（流域治水）。」(p.57),交通安全や防犯対策について一般的な方針は示されているが、具体的な目標や施策名（ゾーン30等）がなく、特に空き家対策に関する記述がほとんどないため。「公園等の整備にあたっては、公園の外からの死角を作らない等の工夫を行います。」(p.57),新たな産業ゾーンの指定など誘導エリアは具体的に示されているが、売上高や雇用者数といった具体的な経済指標の目標設定がないため。「新たに古沢地区を産業ゾーンとして位置づけ、その環境の整備を促進します。」(p.44),公共施設の集約化・複合化について、具体的な施設名を挙げて方針が明確に示されている点は評価できるが、インフラコスト削減への直接的な言及や財政効果の試算はないため。「現下妻市役所に隣接する市民文化会館や下妻公民館、保健センター等の公共公益施設の複合化を進めます。」(p.44),環境配慮の理念には触れているが、CO2排出量削減目標、再生可能エネルギー導入、自動車依存脱却に向けた具体的な施策や数値目標が記載されていないため。「環境に負担の少ない循環型社会への転換に取り組んでいくことやコンパクトな都市づくりが求められます。」(p.36)
茨城,常総市,"60,834",2024,0,1,7,8,5,4,6,6,8,7,4,55,立地適正化計画に基づき居住・都市機能誘導区域が図示され、集約化の方針は明確だが、人口密度目標が現状維持であり、集約強化に向けた定量的な目標設定が弱い。「④居住誘導区域内の人口密度 26.3人／ha（平成27年度）→26.3人／ha（令和12年度）」（p.95）,"地域公共交通計画と連携し、コミュニティバスやAI活用等の具体的な交通網構築方針が示され、鉄道利用者数の数値目標も設定されている。「②１日あたりの関東鉄道常総線利用者数（市内７駅） 現状値 4,170人（令和3年度）→目標値 5,576人（令和9年度）」（p.95）",「歩いて暮らせるまちづくり」の理念や自転車活用の方針は述べられているが、具体的な歩行者・自転車ネットワーク計画図や健康指標との連動は示されていない。「水海道駅や市庁舎を中心に、都市機能の集約化と既存ストックや公共施設跡地の活用に取り組み、歩いて暮らせるまちづくりを目指します。」（p.44）,高齢者や子育て世代への配慮の必要性は認識されているが、施設配置に関する具体的な基準や計画、地域包括ケアとの連携についての記述が乏しい。「ライフスタイルの多様化などを背景とした、保育や教育等の子育てにおける環境や利便性に対する若年層のニーズに対応したまちの環境を具体化する必要があります。」（p.33）,ハザードリスクを明確に認識し、図示もしているが、危険区域での開発抑制や移転促進といった強い土地利用規制には踏み込まず、既存市街地機能の維持を優先する方針となっている。「一律に都市機能や居住機能の集積を規制することは現実的でないことから、洪水浸水想定区域内においても、災害リスクの想定を十分に行い、都市機能や居住機能の確保についても検討することとします。」（p.64）,空き家の現状分析と対策計画との連携、交通安全対策の方針は示されているが、空き家削減の数値目標やゾーン30等の具体的な施策展開に関する記述は限定的。「空き家については、空家等対策計画に基づき関係部署と連携しながら、空き家の適正な管理と利活用に取り組みます。」（p.65）,ASV常総や既存工業団地を核とした産業誘導エリアが明確であり、産業系の地区計画地区数を増やすという具体的な数値目標も設定されている。「③市街化調整区域の地区計画（産業系）の地区数 現状値 4地区（令和5年度）→目標値 6地区（令和12年度）」（p.95）,インフラ更新費用の将来推計を示し、公共施設等総合管理計画と連携した施設再編・集約化の方針が明確に記述されているが、具体的なコスト削減目標額は示されていない。「インフラ資産などの更新に必要な投資的経費の確保が難しくなることが想定されます。今後は更新費用の適切なコントロールを図り、設備投資の選択と集中及び予防保全・修繕を行うなど、財政負担の軽減や平準化を図りつつ」（p.32）,カーボンニュートラル実現に向けた方針は示されているものの、CO2排出量の具体的な削減目標や再生可能エネルギーの導入目標がなく、理念的な記述に留まっている。「身近な自然環境の保全・活用を通じて、カーボンニュートラルの実現に向けた取り組みの具体化を目指します。」（p.65）
茨城,常陸太田市,"48,602",2020,0,2,6,4,5,4,7,4,6,5,3,44,立地適正化計画との連携を明記し、複数の拠点を図示しているが、マスタープラン内での具体的な誘導区域や人口密度目標の記載はないため。「集約と連携のまちづくりを目指す「常陸太田市立地適正化計画」を策定し、本計画と整合を図りつつ、まちづくりを進めていきます。」,バスネットワークの維持やデマンド交通の検討に言及しているが、具体的な路線、運行頻度等のサービス水準目標は示されていない。「拠点等と郊外の生活拠点や集落地、住宅団地などを広範囲に連絡するバスネットワークを維持できるよう、市民の利用促進を図ります。」,サイクリングロードやプロムナード整備計画は具体的だが、市全体の歩行者・自転車ネットワーク計画図や健康指標との連動は示されていない。「久慈川サイクリングロードの整備を図り、全線供用を目指します。」,バリアフリー化の方針は示されているが、高齢者徒歩圏内の施設配置や子育て施設の計画的配置に関する具体的な基準や計画は示されていない。「子どもから高齢者まで誰もが安心して生活を送れるよう、…バリアフリー化や、ユニバーサルデザインを取り入れた環境づくりを進めることが必要です。」,ハザードマップの活用や浸水想定区域での土地利用の工夫に言及しているが、危険区域での開発抑制や移転促進といった強い規制に関する記述はない。「浸水が想定される区域の土地利用や住まい方を工夫する方策なども組み合わせて社会経済被害の最小化を図ります。」,空き家問題や防犯対策の必要性を認識しているが、具体的な数値目標やゾーン30などの施策についての記述はない。「放置された空家・空地では、…治安の悪化が問題となっており、空家・空地の適正な管理・活用が必要となっています。」,商業・工業の機能誘導エリアを具体的に指定しているが、売上高や雇用者数等の経済指標の目標設定はない。「広域的な商業などの集積が期待される国道349号バイパス沿道地区では、…積極的に商業施設や業務施設等の立地の誘導を図るなど、魅力ある市街地づくりを進めます。」,コンパクト化による効率的な都市経営の理念は明確だが、インフラ維持コストの削減目標や具体的な公共施設再編計画は示されていない。「都市のコンパクト化による道路、上下水道などの都市インフラの効率的な維持管理」,公共交通利用促進によるCO2削減には言及しているが、具体的なCO2排出量の削減目標や再生可能エネルギーの導入目標に関する記述はない。「過度な自家用車利用から公共交通機関を適切に利用する方向へ誘導する交通施策も必要となっています。」
