団体コード,"都道府県名
（漢字）","市区町村名
（漢字）",年次,URL,アクセス日
082015,茨城県,水戸市,2025,https://www.city.mito.lg.jp/page/4317.html,2025/11/26
082023,茨城県,日立市,2020,https://www.city.hitachi.lg.jp/machizukuri_kankyo/toshikeikakujoho/1007377/1002820.html,2025/11/26
082031,茨城県,土浦市,2024,https://www.city.tsuchiura.lg.jp/shisei/shinokeikaku/kankyo-kotsu-machizukuri/page000545.html,2025/11/26
082040,茨城県,古河市,2024,https://www.city.ibaraki-koga.lg.jp/soshiki/toshi/15/18617.html,2025/11/26
082058,茨城県,石岡市,2017,https://www.city.ishioka.lg.jp/shigoto_sangyo_machi/toshikeikaku/page004522.html,2025/11/26
082074,茨城県,結城市,2017,https://www.city.yuki.lg.jp/shisei/keikaku/keikaku-gaiyou/page004431.html,2025/11/26
082082,茨城県,龍ケ崎市,2025,https://www.city.ryugasaki.ibaraki.jp/jigyosha/toshiseibi/keikaku/ToshiMasuKoukai.html,2025/11/26
082104,茨城県,下妻市,2022,https://www.city.shimotsuma.lg.jp/shisei/city-planning/toshikeikaku/page007910.html,2025/11/26
082112,茨城県,常総市,2024,https://www.city.joso.lg.jp/kurashi_gyousei/shisei/seisaku/city_plan/cityplanning_comprehensive/page002162.html,2025/11/26
082121,茨城県,常陸太田市,2020,https://www.city.hitachiota.ibaraki.jp/page/page006009.html,2025/11/26
082147,茨城県,高萩市,2007,https://www.city.takahagi.ibaraki.jp/kurashi/shouhi_machidukuri/machidukuri/page001616.html,2025/11/26
082155,茨城県,北茨城市,2021,https://www.city.kitaibaraki.lg.jp/docs/2021032500014/,2025/11/26
082163,茨城県,笠間市,2021,https://www.city.kasama.lg.jp/page/page001371.html,2025/11/26
082171,茨城県,取手市,2011,https://www.city.toride.ibaraki.jp/toshikeikaku/shise/machizukuri/kakubusho/toshisebi/toshikekaku.html,2025/11/26
082198,茨城県,牛久市,2021,https://www.city.ushiku.lg.jp/page/page000705.html,2025/11/26
082201,茨城県,つくば市,2025,https://www.city.tsukuba.lg.jp/jigyosha/machinami/rittuchi/23256.html,2025/11/26
082210,茨城県,ひたちなか市,2021,https://www.city.hitachinaka.lg.jp/machizukuri/toshikeikaku/1004855/1008283/1004894.html,2025/11/26
082228,茨城県,鹿嶋市,2021,https://city.kashima.ibaraki.jp/soshiki/52/20438.html,2025/11/26
082236,茨城県,潮来市,2024,https://www.city.itako.lg.jp/page/page000648.html,2025/11/26
082244,茨城県,守谷市,2020,https://www.city.moriya.ibaraki.jp/shisei/keikaku/1004600/1004630.html,2025/11/26
082252,茨城県,常陸大宮市,2020,https://www.city.hitachiomiya.lg.jp/kurashi_gyousei/gyousei/plan/toshi/page004909.html,2025/11/26
082261,茨城県,那珂市,2023,https://www.city.naka.lg.jp/gyousei/machidukuri/page000741.html,2025/11/26
082279,茨城県,筑西市,2025,https://www.city.chikusei.lg.jp/gyousei/measures/toshi-keikaku/page006905.html,2025/11/26
082287,茨城県,坂東市,2022,https://www.city.bando.lg.jp/page/page002473.html,2025/11/26
082295,茨城県,稲敷市,2010,https://www.city.inashiki.lg.jp/page/page001151.html,2025/11/26
082309,茨城県,かすみがうら市,2025,https://www.city.kasumigaura.lg.jp/page/page000359.html,2025/11/26
082317,茨城県,桜川市,2019,https://www.city.sakuragawa.lg.jp/shisei/gyousei_keikaku/toshi_keikaku/page006006.html,2025/11/26
082325,茨城県,神栖市,2019,https://www.city.kamisu.ibaraki.jp/shisei/plan_policy/1003573/1003575.html,2025/11/26
082333,茨城県,行方市,2024,https://www.city.namegata.ibaraki.jp/seikatsu/sumai-toshi/toshikeikau/page013634.html,2025/11/27
082341,茨城県,鉾田市,2021,https://www.city.hokota.lg.jp/page/page004542.html,2025/11/27
082350,茨城県,つくばみらい市,2020,https://www.city.tsukubamirai.lg.jp/gyousei/seisaku/toshikeikaku/machidukuri/master/page001553.html,2025/11/27
082368,茨城県,小美玉市,2022,https://www.city.omitama.lg.jp/0041/info-0000000327-0.html,2025/11/27
083020,茨城県,茨城町,2016,https://www.town.ibaraki.lg.jp/gyousei/kurashitetuduki/jyutaku/toshikeikaku/000527.html,2025/11/27
083097,茨城県,大洗町,2019,https://www.town.oarai.lg.jp/chouseijouhou/keikaku/toshikeikaku/3493/,2025/11/27
083101,茨城県,城里町,2021,https://www.town.shirosato.lg.jp/gyousei/machinokeikaku/sougoukeikaku/page005517.html,2025/11/27
083411,茨城県,東海村,2020,https://www.vill.tokai.ibaraki.jp/soshikikarasagasu/kensetsubu/toshiseisaku/2/1/1/4605.html,2025/11/27
083640,茨城県,大子町,2024,https://www.town.daigo.ibaraki.jp/page/page007319.html,2025/11/27
084425,茨城県,美浦村,2012,https://www.vill.miho.lg.jp/page/page009510.html,2025/11/27
084433,茨城県,阿見町,2024,https://www.town.ami.lg.jp/0000002912.html,2025/11/27
084476,茨城県,河内町,2017,https://www.town.ibaraki-kawachi.lg.jp/page/page000582.html,2025/11/27
085219,茨城県,八千代町,2021,https://www.town.ibaraki-yachiyo.lg.jp/page/page001398.html,2025/11/27
085421,茨城県,五霞町,2020,https://www.town.goka.lg.jp/kurashi-machi-shigoto/gyousei/machizukuri/keikaku-shisaku/page003261.html,2025/11/27
085464,茨城県,境町,2020,https://www.town.ibaraki-sakai.lg.jp/page/page000661.html,2025/11/27
085642,茨城県,利根町,2019,https://www.town.tone.ibaraki.jp/chosei/jugyou-keikaku/toshikeikaku/page003338.html,2025/11/27
092011,栃木県,宇都宮市,2024,https://www.city.utsunomiya.lg.jp/shisei/machizukuri/uplaza/1009281.html,2025/11/27
092029,栃木県,足利市,2024,https://www.city.ashikaga.tochigi.jp/urban/000063/000338/p002879.html,2025/11/27
092037,栃木県,栃木市,2016,https://www.city.tochigi.lg.jp/soshiki/41/1786.html,2025/11/27
092045,栃木県,佐野市,2019,https://www.city.sano.lg.jp/soshikiichiran/toshi/toshikeikakuka/gyomuannai/4/3233.html,2025/11/27
092053,栃木県,鹿沼市,2019,https://www.city.kanuma.tochigi.jp/0376/info-0000000496-1.html,2025/11/27
092061,栃木県,日光市,2009,https://www.city.nikko.lg.jp/soshiki/7/1032/2/1083.html,2025/11/27
092088,栃木県,小山市,2024,https://www.city.oyama.tochigi.jp/kurashi/toshikeikaku/machizukuri/page007202.html,2025/11/27
092096,栃木県,真岡市,2024,https://www.city.moka.lg.jp/kakuka/toshikeikaku/gyomu/seisaku_keikaku/toshikeikaku_machizukuri/22253.html,2025/11/27
092100,栃木県,大田原市,2010,https://www.city.ohtawara.tochigi.jp/docs/2013082779618/,2025/11/27
092118,栃木県,矢板市,2023,https://www.city.yaita.tochigi.jp/soshiki/toshiseibi/tosimasu.html,2025/11/27
092134,栃木県,那須塩原市,2025,https://www.city.nasushiobara.tochigi.jp/soshikikarasagasu/toshikeikakuka/toshikeikaku_kaihatsu_kenchiku/3/2272.html,2025/11/27
